"ID" "Sex" "BleedTime" "Age" "Weight" "rawDOB" "timeDOB" "normBleed" "residNormBleed"
"1" 19367 "M" 8.3 521 23.2 "2011-10-30" 9 1.89619314869277 0.634275746351548
"2" 18953 "M" 3 524 25.8 "2011-10-27" 9 0.758147443144371 -0.503879032267138
"3" 19491 "M" 10.5 60 21.4 "2013-02-02" 25 2.49503534467622 1.56846193795553
"4" 19384 "M" 3 152 17.3 "2012-11-02" 22 0.758147443144371 -0.231505202406312
"5" 18950 "M" 3 526 29.5 "2011-10-25" 9 0.758147443144371 -0.503951747647338
"6" 19184 "M" 11 349 36.8 "2012-04-19" 15 2.67126150469931 1.53506628773695
"7" 19037 "M" 3 479 21.4 "2011-12-11" 11 0.758147443144371 -0.462420048652019
"8" 19046 "M" 3 467 28.7 "2011-12-23" 11 0.758147443144371 -0.46198375637089
"9" 18929 "M" 2 114 18.9 "2012-12-10" 23 0.10436893498713 -0.863990674559537
"10" 19319 "M" 2 216 17.6 "2012-08-30" 19 0.10436893498713 -0.947344934070927
"11" 18957 "M" 2 536 27.9 "2011-10-15" 9 0.10436893498713 -1.15809383270552
"12" 18923 "M" 4.5 536 22.4 "2011-10-15" 9 1.17675148860517 -0.0857112790874813
"13" 19466 "M" 12.5 85 17.4 "2013-01-08" 24 3.02106273073864 2.07366893798515
"14" 19463 "M" 1.8 101 20.3 "2012-12-23" 23 -0.177721033973639 -1.14560799354908
"15" 19447 "M" 3.8 100 21.8 "2012-12-24" 23 1.0369737073882 0.0691231055028475
"16" 19474 "M" 2 79 23.8 "2013-01-14" 24 0.10436893498713 -0.842806711625795
"17" 19368 "M" 2 170 22.3 "2012-10-15" 21 0.10436893498713 -0.905849592765702
"18" 19428 "M" 6 114 16.6 "2012-12-10" 23 1.38436457152009 0.416004961973423
"19" 19322 "M" 2.8 210 23.6 "2012-09-05" 20 0.633436918311946 -0.398147360825099
"20" 19411 "M" 2.3 135 23.2 "2012-11-19" 22 0.408891009167623 -0.580143555651467
"21" 19335 "M" 2 200 21.9 "2012-09-15" 20 0.10436893498713 -0.926851767248973
"22" 19350 "M" 3 185 23.3 "2012-09-30" 20 0.758147443144371 -0.272527893740321
"23" 19371 "M" 8.8 176 26.5 "2012-10-09" 21 1.97861879371554 0.968182119822148
"24" 19477 "M" 5.5 87 25.1 "2013-01-06" 24 1.31379002137547 0.366323513241791
"25" 19434 "M" 1.8 110 24.1 "2012-12-14" 23 -0.177721033973639 -1.14593521275993
"26" 19406 "M" 2.3 132 20.1 "2012-11-22" 22 0.408891009167623 -0.580034482581185
"27" 19431 "M" 4.5 119 19.4 "2012-12-05" 23 1.17675148860517 0.208210090608031
"28" 20314 "F" 1 53 15.3 "2015-01-18" 48 -1.20237274604628 -1.50210742492896
"29" 20293 "F" 2.3 72 17 "2014-12-30" 47 0.408891009167623 0.0885540903927045
"30" 20294 "F" 5.8 71 17.4 "2014-12-31" 47 1.35216537317022 1.0318648120854
"31" 20307 "F" 7.8 73 14.9 "2014-12-29" 47 1.53029152799957 1.20991825153456
"32" 20310 "F" 5.5 58 15.7 "2015-01-13" 48 1.31379002137547 1.01387355404232
"33" 20297 "F" 6.5 71 15.5 "2014-12-31" 47 1.44444226340959 1.12414170232477
"34" 20281 "F" 1.8 76 15.4 "2014-12-26" 47 -0.177721033973639 -0.498203383508934
"35" 20304 "F" 1.8 72 13.9 "2014-12-30" 47 -0.177721033973639 -0.498057952748558
"36" 20286 "F" 2.8 72 16.8 "2014-12-30" 47 0.633436918311946 0.313099999537027
"37" 20300 "F" 3.5 66 19.4 "2015-01-05" 48 0.954065718000542 0.653858389146635
"38" 20284 "M" 6.5 72 17.3 "2014-12-30" 47 1.44444226340959 0.955484327577628
"39" 20302 "M" 1.5 72 15.7 "2014-12-30" 47 -0.446949062026105 -0.93590699785807
"40" 20283 "M" 4 79 18.9 "2014-12-23" 47 1.08690660805893 0.597694168396303
"41" 20313 "M" 2 53 17.6 "2015-01-18" 48 0.10436893498713 -0.363986760952598
"42" 20296 "M" 1.3 71 16.4 "2014-12-31" 47 -0.720799723462029 -1.2097213016039
"43" 20306 "M" 3 73 16.1 "2014-12-29" 47 0.758147443144371 0.269153149622313
"44" 20289 "M" 4 72 17.6 "2014-12-30" 47 1.08690660805893 0.597948672226961
"45" 20311 "M" 5.8 58 17 "2015-01-13" 48 1.35216537317022 0.883627888780023
"46" 20279 "M" 8.8 76 16.7 "2014-12-26" 47 1.97861879371554 1.4895154271232
"47" 20897 "M" 2 144 22.1 "2016-03-19" 62 0.10436893498713 -0.088535097824891
"48" 20964 "M" 1.5 104 20.8 "2016-04-28" 63 -0.446949062026105 -0.618487343453914
"49" 20915 "M" 2 141 27.1 "2016-03-22" 62 0.10436893498713 -0.0884260247546087
"50" 20902 "M" 4.3 143 22.3 "2016-03-20" 62 1.13970779045165 0.946840115329718
"51" 20907 "M" 3.5 143 25.5 "2016-03-20" 62 0.954065718000542 0.761198042878615
"52" 20850 "M" 3.3 175 18.9 "2016-02-17" 61 0.881894700545162 0.667952135559776
"53" 20909 "M" 7 136 24.7 "2016-03-27" 62 1.50043692973 1.30782375843873
"54" 20968 "M" 1.5 101 19.1 "2016-05-01" 64 -0.446949062026105 -0.598466826603184
"55" 20957 "M" 1 109 19.3 "2016-04-23" 63 -1.20237274604628 -1.37409281592456
"56" 20899 "M" 2.5 142 21 "2016-03-21" 62 0.517891453898414 0.325060136466581
"57" 20228 "F" 1.5 656 12.6 "2014-10-30" 45 -0.446949062026105 -0.828341759376877
"58" 20348 "F" 1.8 553 14.8 "2015-02-10" 49 -0.177721033973639 -0.475723114122927
"59" 20308 "F" 4.8 596 13 "2014-12-29" 47 1.21548449150377 0.876096143119538
"60" 20347 "F" 4.5 553 12.6 "2015-02-10" 49 1.17675148860517 0.878749408455881
"61" 20351 "F" 1.5 553 13.2 "2015-02-10" 49 -0.446949062026105 -0.744951142175393
